METHOD,BEFORE_AVERAGE_DAILY_COUNT,AFTER_AVERAGE_DAILY_COUNT,ABSOLUTE_CHANGE,PERCENTAGE_CHANGE
Original raw data,939.8835227272727,611.1381156316917,-328.7454070955811,-34.977249749166376
Exact duplicates removed,939.3267045454545,610.9593147751606,-328.3673897702939,-34.95774028155547
