counter_site,loc_leg,tfm_desc,nearest_segment_id,nearest_street,nearest_suburb,distance_m
34687,64645,MOORABOOL CYCLE PATH N OF PARK CRES IN FRONT OF KARDINIA SCC,10838,MOORABOOL STREET,South Geelong,3.28
34687,64644,MOORABOOL CYCLE PATH N OF PARK CRES IN FRONT OF KARDINIA SCC,10838,MOORABOOL STREET,South Geelong,3.28
32493,61168,WELLINGTON ST (SOUTH BOUND) BTW GLASGOW ST AND NORTHUMBERLAND ST,5881,WELLINGTON STREET,Collingwood,6.01
32493,60963,WELLINGTON ST (NORTH BOUND) BTW DERBY ST AND GLASGOW ST,5881,WELLINGTON STREET,Collingwood,6.87
40005,70010,HEIDELBERG RD E BD W OF STATION ST,8221,HEIDELBERG ROAD,Fairfield,7.57
40004,70009,HEIDELBERG RD W BD W OF YARRA BEND RD,8218,HEIDELBERG ROAD,Clifton Hill,9.36
9077,23042,ALBERT ST EB 50M E OF MORRISON PL,9801,ALBERT STREET,East Melbourne,9.66
40005,70011,HEIDELBERG RD W BD W OF STATION ST,8221,HEIDELBERG ROAD,Fairfield,10.64
9077,40292,ALBERT ST WB 50M W OF LANSDOWN ST,9801,ALBERT STREET,East Melbourne,11.32
