LOC_LEG,SITE_XN_ROUTE,GPS_LAT,GPS_LONG,SURFACE_TYPE,TFM_DESC,BEARING_DESC,REGION,STATUS,PURPOSE
62155,33179,-37.809076,144.936069,BIKE PATH,ON MOONEE PONDS CREEK TRAIL NB,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
63748,34215,-37.780045,144.999469,BIKE LANE,SOUTH CRESCENT NE BD 1M SOUTH OF PLANT STREET,NORTH EAST BOUND,METRO NORTH WEST,City of Darebin Site,Commuter
63749,34215,-37.780053,144.999511,BIKE LANE,SOUTH CRESCENT SW BD 1M SOUTH OF PLANT STREET,SOUTH WEST BOUND,METRO NORTH WEST,City of Darebin Site,Commuter
63750,34216,-37.767242,144.987528,BIKE LANE,WOOLHOUSE STREET N BD 44 m SOUTH OF ELM STREET,NORTH BOUND,METRO NORTH WEST,City of Darebin Site,Commuter
63751,34216,-37.767261,144.987569,BIKE LANE,WOOLHOUSE STREET S BD 44 m SOUTH OF ELM STREET,SOUTH BOUND,METRO NORTH WEST,City of Darebin Site,Commuter
63752,34217,-37.765881,145.005454,BIKE LANE,CHRISTMAS STREET E BD 39 m EAST OF ST DAVID STREET,EAST BOUND,METRO NORTH WEST,City of Darebin Site,Mix
63753,34217,-37.765918,145.005446,BIKE LANE,CHRISTMAS STREET W BD 39 m EAST OF ST DAVID STREET,WEST BOUND,METRO NORTH WEST,City of Darebin Site,Mix
63846,34271,-37.806396,144.905033,BIKE LANE,"MORELAND STREET, FOOTSCRAY SW BD 6M from NAPIER STREET",SOUTH WEST BOUND,METRO NORTH WEST,UNIDIRECTIONAL SITE,Commuter
63932,34314,-37.791642,144.973853,BIKE LANE,CANNING STREET N BD 20M S FROM LEE STREET,NORTH BOUND,METRO NORTH WEST,UNIDIRECTIONAL SITE - Replaced Site 6588,Commuter
63933,34314,-37.791678,144.973989,BIKE LANE,CANNING STREET S BD 20M S FROM LEE STREET,SOUTH BOUND,METRO NORTH WEST,UNIDIRECTIONAL SITE - Replaced Site 6588,Commuter
