GROUP,BEFORE_N,BEFORE_MEAN,AFTER_N,AFTER_MEAN,PCT_CHANGE,WELCH_P
Weekday,250,1175.196,342,754.7076023391813,-35.78027815452219,3.527759131193577e-30
Weekend,98,347.96938775510205,139,391.021582733813,12.372408750223368,0.0032555511038071475
