SCENARIO,BEFORE_MEAN,AFTER_MEAN,PCT_CHANGE,CI_LOW,CI_HIGH
All days (original),939.8835227272727,611.1381156316917,-34.977249749166376,-454.59229958511776,-217.7829790308059
Lockdown days excluded,1017.1553398058253,685.0776978417266,-32.64768211584006,-433.7500481944541,-255.11136248282935
