SPECIFICATION,BEFORE_N,BEFORE_MEAN,AFTER_N,AFTER_MEAN,PCT_CHANGE,WELCH_P,CI_LOW,CI_HIGH,CI_EXCLUDES_ZERO
Original (George's baseline),352,939.8835227272727,934,611.1381156316917,-34.977249749166376,1.006788825551093e-23,-454.59229958511776,-217.7829790308059,True
Sensitivity A (After-only exclusion),352,939.8835227272727,695,685.0776978417266,-27.110361946358267,3.568487646393863e-15,-380.7127743827665,-143.54018026487904,True
Sensitivity B (Both-period exclusion),309,1017.1553398058253,695,685.0776978417266,-32.64768211584006,1.2186026988666791e-21,-433.7500481944541,-255.11136248282935,True
